sp_id,rp_id,seeker_post,response_post,level,rationales
pupzykgo,gnj5owe7,"When my daughter is stressed about a silly thing from school, she starts crying and freaking out. She is a bright student, always has a 4.0, but I am afraid she is stressing too much. I’m afraid it’s going to break her. I don't know if I should get her to a doctor or someone because this is not normal.","Hi there Mom! Just look at all of the things that a teen has to juggle and it's no surprise they're stress out. There are simply not enough minutes in the day to get everything done.  So, they react by cutting into important times such as social interaction and sleep.  Our fast paced, fast food, society is taking its toll on our teen generation. While multi-tasking seems to be a hot pop word, it simply doesn't work.  We aren't wired to do our best at multiple things at once.  We are not machines but rather humans who are going to quickly expire if we don't get a handle on our stress.As adults, it's time we intervene and teach our teens how to maintain a healthy balance between work and play.  We need to help them prioritize and put first things, first.  Are you putting first things, first in your life?  If not, it's a good time to start. Best of luck to you and your daughter in whatever you decide to do.",2,"it's time we intervene and teach our teens how to maintain a healthy balance between work and play.|Are you putting first things, first in your life?  If not, it's a good time to start.|"
b13t0g6g,8vjumvdv,"My parents seem okay with other sexualities, but normally they only talk about being gay. When they do talk about bisexuality, they say things like “they'll do anything” or things that make me very uncomfortable because I am bisexual. I don't know if I am ready to come out to them.","Hello, and thank you for your question. Being bisexual can be particularly
difficult because it is often misunderstood, even by people who are “supposed”
to be part of your own community, such as lesbians and gays. It happens so
often that there is actually a term for it – 
bi-erasure. This is simply something that happens when people deny that
bisexuality is a real thing, or discriminate against bisexuals due to beliefs
like your parents seem to have. 
The unfortunate truth is that you can never
be sure of how you parents may take this kind of information. It sounds
promising that they are accepting of other sexual orientations, and it may
simply be that your parents lack education about bisexuality. With accurate
information, they may come around, but there is no way to be sure. 
Some of my colleagues have already given you good information. Here are some more things that you can consider
and questions you can ask yourself before making the decision to tell them:
 
1.      If they don’t respond the way you want them to, have you developed a support
system to support you through it? This is very important. The truth is that all
the friends in the world won’t prevent pain or sadness if your parents don’t
respond as you hope, but they will at least be there to remind you that you ARE
okay as you are. And that is critical for you to remember. 
 
2.      There is great information on the internet about bisexuality that you can
offer your parents if you think it would be helpful. It may be important for
them to know the kind of damage that is being done to bisexual adults and young
people because of the myths surrounding bisexuality. Here is an article from
GLAAD about bi-erasure: http://www.glaad.org/bisexual/bierasure
 
3.      Coming out to people is obviously deeply personal and should only take
place when you are ready. Sometimes people get pressured from friends, media,
and even people they are romantically involved with to come out before they are
ready. It really is up to you. If you are feeling pressure from others, don’t
feel bad about setting your boundaries and telling them that you will come out
on your own time. Intimate partners should respect you enough to understand
this. 
 
4.      Something else to think about is your own comfort in being bisexual. Just
because someone is LGBTQ doesn’t mean that they necessarily want to be. Many
people struggle with this. Having
your own doubts or insecurities may also play a part in how comfortable you are
in telling your parents. So, perhaps do some self-exploration about your
feelings toward yourself. 
 
Sometimes people take friends with them
when they decide to come out to their parents. This is something you may want
to consider. The important thing to remember is that you are okay. Really. If
your parents don’t respond well, that doesn’t mean that they never will. Some
start off upset, but then work their way through it. 
Best of luck to you. 
Robin J. Landwehr, DBH, LPC, NCC",2,"If they don’t respond the way you want them to, have you developed a support
system to support you through it?| So, perhaps do some self-exploration about your
feelings toward yourself.|"
p1rstp6k,c5p8z146,I don't know what to say. I have never really known who I am.,"I'm having the same issue... I think you need to consider your morals and what you really want out of life. If there's something you want to achieve, that's who you are. And you need to put yourself into that and immerse yourself in the purpose of whatever you want. It doesn't matter how small it may seem. If there's nothing you want badly then think about other things. What others want or what you need or what others need. Find something that feels important and commit to it.",1,If there's nothing you want badly then think about other things. What others want or what you need or what others need.|
rlmayaeh,cog9yho1,"Maybe this is a stupid question, but I sometimes don't know what's real or not. If feel at times like everyone's lying. How do I know if God is one of those lies?","The way that I see it is that Humans have always been afraid of life and death, historically we have always tried to understand life, we try to organize it, categorize it, explore it, and we've built up this system, our system and societies system around us to help us define what life and (death) is, this system or way is not real but only a perception of our own value judgements, it is, no matter how you try to argue it, a false system of conditioning, humans have a finite mind and a finite mind cannot ever hope to understand an infinite mind of which a god would be. God has been developed over time as a security blanket for our child-like selves, the world is a beautifully brutal place and what is more reassuring than a master that will take care of us and show us the way. On Earth alone there are thousands of gods and even many more systems of thought, economics, societal structures and so on, it is almost as though it were a supermarket with so many choices, we have more choices in gods than we do flavors of ice cream at Baskin-Robbins, so then I ask you, ""which one is real?, and ""what is real?""",1,"The way that I see it is that Humans have always been afraid of life and death, historically we have always tried to understand life, we try to organize it, categorize it, explore it|"
rty1fo7g,8yw5w26k,I've been like this ever since I was in school; back then I transferred to another school. Now I'm thinking about changing my job.,"I recommend that you make a list of all the reasons you should change your life and all of the reasons you shouldn't change your life. Can the problem you are in be fixed? Is there others you can lean on for support? Are there other people you know who have been through a similar experience and are willing to share their story with you? It is important to rely on your support network to help you get multiple points of view. If you believe you need additional help, I suggest seeing a professional.",2,Can the problem you are in be fixed?| Is there others you can lean on for support?| Are there other people you know who have been through a similar experience and are willing to share their story with you?|
b5abw715,863b76qu,"When I'm not cutting, I'm drinking. When I try healthy outlets such as exercise, I end up running myself down into an asthma attack. From weapons, to words, I can't help but self harm. What am I supposed to do, how do I stop this cycle? I don't know how else to cope or motivate myself without pain.","It sounds like you are feeling helpless and out of control, you are concerned about your behavior, and at the same time you feel compelled to continue it. In working with a therapist, you may be able to get insight into what is motivating these behaviors, develop strategies for taking care of yourself, and get a stronger sense of who you are motivated to be when you are your authentic self.",0,
q5detf7o,uim1mol1,"My mother and I have an okay relationship. I know she loves me unconditionally, and I love her the same. However, more times than not, I'm afraid to tell her anything personal because she either doesn't listen, she turns it around and makes everything about her, or she ignores things - even when they are about my mental health. How can I get my mother to listen to me without her freaking out?","Communication with our loved ones can be tricky, but it is the key to maintaining a healthy and functional relationship with them. At times, it seems difficult to communicate with our family because many feelings and “undercover” messages are attached. Especially with our mothers, who often provide advice and feel responsible for us, it may feel like they are making everything about themselves as they express their worries and concerns.So what to do? First will be important to practice active listening skills, to ensure that you are receiving and understanding the message, without filtering it trough your own emotions or preconceptions of the person who speaks.  Second, learn and practice assertive communication skills.  Those will help you to communicate a message clearly and in pieces.  It also emphasizes using I-statements to express how you feel at times when emotions become affected by the interaction.  Third, you should practice, by writing your I-statement or role playing with your counselor.   The trick with communication skills is that we need to practice them as often as possible until you to master them.  You can also contact a family therapist to improve those skills if it becomes challenging, or contact a mediator if more issues arise.¿Cómo puedo lograr que mi mamá me escuche sin alarmarse tanto?La comunicación con nuestros seres queridos puede ser dificultosa, pero es la clave para mantener relaciones saludables y funcionales con ellos.  A veces, nos parece aun más difícil comunicarnos con nuestra familia, porque hay muchos sentimientos y mensajes envueltos en la comunicación.  Especialmente nuestras  madres,  pueden hacer parecer que están convirtiendo el asunto en algo personal, cuando se sienten preocupadas y responsables por nosotros y nuestras acciones.¿Y qué hacemos?  Primero debemos aprender a escuchar activamente, para asegurarnos de que comprendemos el mensaje, y que no lo estemos filtrando a través de nuestras emociones e ideas de la otra persona. Segundo, aprende y practica comunicación asertiva.  Esto te ayudara a comunicar un mensaje claramente y en pedazos.  También te ayudar a aprender expresiones del Yo, para identificar sentimientos afectados durante la interacción.  Tercero, es importante que practiques estas destrezas, ya sea escribiendo o con tu consejero.  El secreto está en practicar las técnicas de comunicación cuantas veces sea posible, hasta que las uses espontáneamente.  Si tienes dificultad aprendiendo estas técnicas, o el conflicto con tu mama es uno muy difícil de resolver, puedes contactar un consejero o mediador familiar para que te asista.",1,"First will be important to practice active listening skills| Second, learn and practice assertive communication skills.| Third, you should practice, by writing your I-statement or role playing with your counselor.|"
kydqjwvx,2keh5kvj,She is living with her boyfriend of seven years. He is in therapy for depression and social anxiety. He hasn't worked in all this time.,"Congrats on your upcoming grandchild!Does your daughter want you to break news of her pregnancy, to the family?Talk with your daughter first, whether or not she would like you to tell other family members.Also, given the other facts you mention in your post, if household and financial management are areas you feel your daughter is vulnerable, then bring up these topics too.Stay open minded about your daughter having views which are different from yours.",2,"Does your daughter want you to break news of her pregnancy, to the family?| Stay open minded about your daughter having views which are different from yours.|"
xn503p7h,gb04d6c7,What are some difficulties that a counselor can encounter when dealing with a client?,"Yes, just like some relationships outside of our work are more difficult than others. But, I would not say that the ""client is more difficult,"" rather the dynamic between myself and the client, which constitutes a relationship, might feel more difficult. And that's okay (sometimes things that feel like the most challenging end up with profound shifts and outcomes.) It is often helpful to understand difficulties that exist, because they can illuminate for a therapist something with which a client might be struggling, and when it takes place in the therapy space, it can be experienced and then worked through.It's hard to necessarily say what some difficulties are that a counselor might encounter, but I would say that not showing up, like in any relationship, is one of the hardest things for me. And not just physically not showing up (though that is certainly frustrating), but not being open to the work is a form of not showing up. While not every client is as ""motivated to change,"" it's helpful to my therapist-client relationships that the client try. It might be hard for them, but the effort even to say ""this is tough for me"" can go a long way in these kinds of relationships.",0,
0zahff4g,p7k8rzh3,"I’m a man, and I’m soon to be married. I have been messing around with other men on the side. It started as a once in a while thing, but it’s been happening a lot. I don't know what to do.","If you are happy with the person that you are about to be married to and are also enjoying time with other men, it could be possible that you are attracted to people of more than one gender.Having said that, some people have feelings toward people of more than one gender that are not really related to romance or attraction, but any number of other feelings, such as trust and communication. I don't know whether your use of the phrase ""messing around"" was related specifically to being romantically or sexually involved with the people who you are or referring to or if you are saying that you are enjoying spending time with them. These terms have different definitions for almost everyone.I would definitely recommend speaking with a local mental health practitioner in your area, not because there is anything wrong about the way you are feeling, but because there are a lot of different parts of what is happening in your life right now and it may be helpful to talk about the feelings and thoughts with someone who can help you to learn more about yourself and the people are most important in your life (yourself included).I also suggest looking at a few things that you love and appreciate about yourself.",2,I would definitely recommend speaking with a local mental health practitioner in your area|I also suggest looking at a few things that you love and appreciate about yourself.|
