id,seeker_post,response_post
1,Help. Help me. I dunno what I'm doing anymore,i hope you are okay
2,I'm done saying I love you to her because I don't want to hear a lie back to me. I feel so ugly and unwanted and unloved,i know how you feel . i would be so mad too .
3,Always feel like I'm being criticized and mocked even when alone.... Does anyone else experience this?,oh no ! i 'm sorry to hear that .
4,"My diet becomes fucked when i get depressed.. I can't control myself in the grocery store when I'm feeling down. Chips, cookies, soda, cake, you name It. Anyone else a stress eater?",i know how you feel . i have a bit of friends .
5,"I hate not knowing why. I was diagnosed with depression and anxiety when I was 14. That's almost 4 years ago and I still don't know why I am like this. I have more than enough, yet there are moments where I feel like there's no hope nor a bright future waiting for me. I feel alone and abandoned even though I have friends who know that I am depressed and am like this sometimes. I get so frustrated when I can't find out why I just can't be normal. Everything was alright about 2 hours ago, but it just changes so quickly and hard that I almost feel suicidal. I'm a fucking mess...",i 'm sorry to hear that . i hope you can find someone to talk to you .
6,"Not arsed with school. Can't study or do homework.. My family is in a bad way right now and I'm in a bad way, mentally. I just can't care about school anymore. Feels hopeless",i hope you do too .
7,"My parents wont allow me to sick medical assistance because they think my depression is bs. Title. I'm 16, got no money. What to do?",i am sure you will be fine .
8,"I called in sick to work today. For the first time in a couple months I was feeling so Shitty I called into both my jobs today. Just feeling too burnt out, but I slept a lot, read quite a bit and finally managed to shower so the day a complete waste",i am glad you got it done something like that .
9,"Lost my job, have no reason to live. My career is over, my personal relationships are barely existent, and the friends I do have live far away. I have absolutely no reason to live, no job prospects, no way to afford treatment. I will be killing myself soon unless a miracle happens.",i know what you mean . i hope you can find a new job .
10,"i wanna jump from an elevated place. i wanna kill myself, like really really would like to jump off an elevated place, but not die what do i do? drugs? fall from somewhere not far above the ground(like a 4meters jump)? you know, i'd just like to die but i have a gr8 life other than that (I have different lives in two different countries, just want to kill myself in one)",that 's a good idea . i 'm sure you 'll be fine .
11,Wrong diagnosis-ADHD vs Bipolar Depression. For the past 5 years I've dealt with being misdiagnosed. I have ADHD and Depression but was diagnosed with Bipolar disorder. Has anyone else had this happen? What were the ramifications? How did you handle and what actions did you take?,that 's too bad . i hope you can find someone to talk to .
12,How long is this going to go for?. I wish I fucking knew. Fuck you and everyone else.,that 's good . what kind of surgery ?
13,"I've had a hard time going back to school. Going back to school has been difficult for me, It's been around five years since I've been in a class room and I ask the teachers and the people that I go to my classes to cut me some slack for being rusty but they tell me that it doesn't matter, and my step mom doesn't want me to use the computer because she doesn't want to share. Its lead me to skipping classes because I feel like theirs no use in going to school, it would be cool to know how you would handle this situation and if you can give me any advice.",i would be too ! i would n't want to go back to the gym and be a truly helpful house .
14,Depression. So any non med for depression ?,that 's awesome ! how long have you been together ?
15,"All the people who will be kissed on New year's eve. I'll be alone like usual I'll never get someone to kiss me It's fine No one understands how hopelessly, alone, and angrily some people live. It would scare some attractive people that haven't ever lived like that.","oh no , i 'm sorry to hear that ."
16,It’s terrible being alone in a crisis. Just wanted to express this.,oh no ! i 'm sorry to hear that .
17,honestly what is in this world for me.. nothing thats what i feel like living to make other people happy when they only like me cause they feel sorry for me not cause they actually like me jesus i live such a sorry life.,that is a long time to be in life . i hope you find some new friends and family .
18,Why the fuck am I depressed. I don't even remember when or why but I just feel empty Like I'll be having a great time and suddenly I just want to go home and sleep It's so fuckin dumb I just want to be happy I'm not even sure why like is it because I'm a little overweight? Or stress? Or because I can't get a girlfriend? Because that's a stupid reason to be depressed Why am I doing this to myself How the fuck do I fix this Why do I write all this trash thinking people will actually read it,i can understand that . i 'm sure you 'll be fine .
19,"The world is really pretty.. Pity, that I won't be there anymore to cherish it.",i know what you mean . i 'm sure you are going to miss them .
20,"Don't know what this is.... Not sure if this is the right place but here I go. I feel alone, I feel trapped in my mind, I feel like life is a cycle and I don't know what to do anymore. I have gained weight in the past 3 months, everyone has noticed it all my friends and family. I have never been depressed nor ever felt like this really, only up until maybe 5 months ago. The thing is that I have not had anything traumatic happen to me to make me feel like this. I've had family problems but I don't really see that as a problem i've dealt with it for many years. Is it possible to be depressed for no real reason? Are these symptoms of depression?",i 'm sure you 'll be able to keep in touch with them .
21,Having kids is the most selfish yet selfless thing a person can do.. I just wish I never existed.,that 's a good thing to hear . i am sure she 'll be fine .
22,Why does death make people sad?. a relief from the hell known as life,i can imagine . i am glad you 're feeling better now .
23,If anyone will listen. I'm in a bad place right now. I could really use a friend.,what kind of food do you have ?
24,"When everything is a challenge. Tying your shoes..eating..pulling your shirt over your head, even just walking. Everything is hard like you're climbing up a mountain. What I wouldn't give to see the world differently",i 'm sorry to hear that . i hope you get the money back to that much .
25,I don't wanna go back to a psych unit a third time.. I feel like I'm being pushed over the edge. I don't want to go back to the psych unit for the third time in a 6 month period. What do I do?,i hope you do too !
26,Feeling really hopeless right now.. Can anyone offer some positivity or good vibes right now?,that 's awesome ! i hope you get it !
27,Nothing works. They took me off the one pill that worked. The pill I'm on now is the worst one of them all. Should I call them and tell them? I dont know who exactly to call. Please kill me.,i 'm sorry to hear that . i hope you find something soon .
28,"I'm gonna become an alcoholic. I don't want to. I haven't touched a drop of booze in my life. I don't really have access to it, as I'm underage. But I think more and more about drinking every day, and I wonder if it will work to mediate the symptoms just a bit. My grandfather is a recovering alcoholic, and I don't want to follow in his footsteps, but I know I will eventually. I'm just waiting to see when I snap.",i 'm sorry to hear that . i hope you have a good time together .
29,I’m okay all of the sudden. How can i be so fucking depressed thinking about suicide every single day to just being fine? been a month or two since been feeling suicidal and out of nowhere i just feel ok. What. The. Fuck.,i 'm sorry to hear that . maybe you should talk to them about it .
30,I've been in bed for 5 days. I can't seem to stay up for more than an hour at a time. Tomorrow is my last sick day. If I can't get up I will lose my job. Somehow I really don't even care. I wish I could just blink out of existence.,i can imagine . i would be so scared .
31,".. Why do I always have good news followed by a shit night, followed by sitting up at 2am wanting to kill myself? Why is life so difficult? Why is it so impossible to be fucking happy for once in my shit fucking life? What's the point anymore?",oh no ! i hope you can get a breather from that .
32,"Does anyone else sleep early to escape thoughts you get at night?. I always see people say how depression causes them to stay awake at night or become lethargic during the day but after 10pm, I become increasingly paranoid and depressed and so I force myself to sleep. Just want to know if anyone out there is the same...",i 'm sorry to hear that . i hope you can find a better home .
33,how do I get $100 quickly and easily?. I want to buy weed. of course some one who is depressed like me needs drugs. but im serious i want weed so i can just smoke 24/7 to help with the depression.,i am sorry to hear that . i hope you can find a local owner .
34,Since we all hate the world and how unfair it why dont we all just become humanitarians. :) even though the bad outweighs the good at least we we will be helping others :):),i understand . i hope you can find a solution for your part .
35,"Had a dream about my parents falling apart and crying because they thought I'd killed myself.. Dream!me hadn't yet, but was unable to tell them because for some reason they couldn't see or hear me. So all I could do was stand there beside them and watch them break down and cry. Thanks, brain. I haven't been feeling shitty and hating myself enough recently while awake.",i know the feeling . i would be very proud of you .
36,changes. i see no changes wake up in the morning and i ask myself is life worth living should i blast myself,that 's awesome ! i bet you are happy !
37,"my problems are insignificant. i get bullied. i bully myself. i get beat up. i beat up myself. my family the best, but they the worst. i have things to look forward to, even if they provide a minuscule amount of happiness. other people have it worse. i whine. i am insignificant.",i 'm sure you will be able to find a new one soon .
