id,seeker_post,response_post
1,Help. Help me. I dunno what I'm doing anymore,what ? what was it that ?
2,I'm done saying I love you to her because I don't want to hear a lie back to me. I feel so ugly and unwanted and unloved,that is a lot of people .
3,Always feel like I'm being criticized and mocked even when alone.... Does anyone else experience this?,"oh no , why ?"
4,"My diet becomes fucked when i get depressed.. I can't control myself in the grocery store when I'm feeling down. Chips, cookies, soda, cake, you name It. Anyone else a stress eater?",i wish you luck !
5,"I hate not knowing why. I was diagnosed with depression and anxiety when I was 14. That's almost 4 years ago and I still don't know why I am like this. I have more than enough, yet there are moments where I feel like there's no hope nor a bright future waiting for me. I feel alone and abandoned even though I have friends who know that I am depressed and am like this sometimes. I get so frustrated when I can't find out why I just can't be normal. Everything was alright about 2 hours ago, but it just changes so quickly and hard that I almost feel suicidal. I'm a fucking mess...",it 's good to have a way to learn from it
6,"Not arsed with school. Can't study or do homework.. My family is in a bad way right now and I'm in a bad way, mentally. I just can't care about school anymore. Feels hopeless",i understand .
7,"My parents wont allow me to sick medical assistance because they think my depression is bs. Title. I'm 16, got no money. What to do?",that is very nice of you . i hope you do n't have to deal with them .
8,"I called in sick to work today. For the first time in a couple months I was feeling so Shitty I called into both my jobs today. Just feeling too burnt out, but I slept a lot, read quite a bit and finally managed to shower so the day a complete waste",that 's so terrible . i hope you can get a house quick !
9,"Lost my job, have no reason to live. My career is over, my personal relationships are barely existent, and the friends I do have live far away. I have absolutely no reason to live, no job prospects, no way to afford treatment. I will be killing myself soon unless a miracle happens.",i know what you mean . i hope you can find a solution and can help you through it .
10,"i wanna jump from an elevated place. i wanna kill myself, like really really would like to jump off an elevated place, but not die what do i do? drugs? fall from somewhere not far above the ground(like a 4meters jump)? you know, i'd just like to die but i have a gr8 life other than that (I have different lives in two different countries, just want to kill myself in one)",i can see why you are n't so lucky !
11,Wrong diagnosis-ADHD vs Bipolar Depression. For the past 5 years I've dealt with being misdiagnosed. I have ADHD and Depression but was diagnosed with Bipolar disorder. Has anyone else had this happen? What were the ramifications? How did you handle and what actions did you take?,that 's awful . i hope you find another one .
12,How long is this going to go for?. I wish I fucking knew. Fuck you and everyone else.,that 's pretty cool . are you going to do anything special about it ?
13,"I've had a hard time going back to school. Going back to school has been difficult for me, It's been around five years since I've been in a class room and I ask the teachers and the people that I go to my classes to cut me some slack for being rusty but they tell me that it doesn't matter, and my step mom doesn't want me to use the computer because she doesn't want to share. Its lead me to skipping classes because I feel like theirs no use in going to school, it would be cool to know how you would handle this situation and if you can give me any advice.",i 'm sure you 'll be fine . i hope everything turns out well for you .
14,Depression. So any non med for depression ?,i do n't think i could ever be .
15,"All the people who will be kissed on New year's eve. I'll be alone like usual I'll never get someone to kiss me It's fine No one understands how hopelessly, alone, and angrily some people live. It would scare some attractive people that haven't ever lived like that.",that is really cool . i bet you are going to ride out of it now .
16,It’s terrible being alone in a crisis. Just wanted to express this.,i 'm sorry to hear that . i hope you feel better soon .
17,honestly what is in this world for me.. nothing thats what i feel like living to make other people happy when they only like me cause they feel sorry for me not cause they actually like me jesus i live such a sorry life.,"i agree , i guess he is n't a good attitude ."
18,Why the fuck am I depressed. I don't even remember when or why but I just feel empty Like I'll be having a great time and suddenly I just want to go home and sleep It's so fuckin dumb I just want to be happy I'm not even sure why like is it because I'm a little overweight? Or stress? Or because I can't get a girlfriend? Because that's a stupid reason to be depressed Why am I doing this to myself How the fuck do I fix this Why do I write all this trash thinking people will actually read it,i know what you mean . i think it 's a lot of work that you have to do .
19,"The world is really pretty.. Pity, that I won't be there anymore to cherish it.",i agree . i love being able to have a friend like that .
20,"Don't know what this is.... Not sure if this is the right place but here I go. I feel alone, I feel trapped in my mind, I feel like life is a cycle and I don't know what to do anymore. I have gained weight in the past 3 months, everyone has noticed it all my friends and family. I have never been depressed nor ever felt like this really, only up until maybe 5 months ago. The thing is that I have not had anything traumatic happen to me to make me feel like this. I've had family problems but I don't really see that as a problem i've dealt with it for many years. Is it possible to be depressed for no real reason? Are these symptoms of depression?",i 'm sure it was a good idea . i hope you find it was n't a good sign to stick around and enjoy it !
21,Having kids is the most selfish yet selfless thing a person can do.. I just wish I never existed.,i know how you feel . i have a daughter who is the best
22,Why does death make people sad?. a relief from the hell known as life,i 'm sorry to hear that . what are you doing ?
23,If anyone will listen. I'm in a bad place right now. I could really use a friend.,what are you going to do ?
24,"When everything is a challenge. Tying your shoes..eating..pulling your shirt over your head, even just walking. Everything is hard like you're climbing up a mountain. What I wouldn't give to see the world differently",i 'm sorry you are going through that .
25,I don't wanna go back to a psych unit a third time.. I feel like I'm being pushed over the edge. I don't want to go back to the psych unit for the third time in a 6 month period. What do I do?,"oh , i hope you have fun !"
26,Feeling really hopeless right now.. Can anyone offer some positivity or good vibes right now?,i wish i had a expedition
27,Nothing works. They took me off the one pill that worked. The pill I'm on now is the worst one of them all. Should I call them and tell them? I dont know who exactly to call. Please kill me.,what a great surprise !
28,"I'm gonna become an alcoholic. I don't want to. I haven't touched a drop of booze in my life. I don't really have access to it, as I'm underage. But I think more and more about drinking every day, and I wonder if it will work to mediate the symptoms just a bit. My grandfather is a recovering alcoholic, and I don't want to follow in his footsteps, but I know I will eventually. I'm just waiting to see when I snap.",i 'm sure you 'll be able to find something you want to be a manager and get a refund at least ?
29,I’m okay all of the sudden. How can i be so fucking depressed thinking about suicide every single day to just being fine? been a month or two since been feeling suicidal and out of nowhere i just feel ok. What. The. Fuck.,i 'm sorry to hear that .
30,I've been in bed for 5 days. I can't seem to stay up for more than an hour at a time. Tomorrow is my last sick day. If I can't get up I will lose my job. Somehow I really don't even care. I wish I could just blink out of existence.,"i agree , but i have a close friend when i was younger ."
31,".. Why do I always have good news followed by a shit night, followed by sitting up at 2am wanting to kill myself? Why is life so difficult? Why is it so impossible to be fucking happy for once in my shit fucking life? What's the point anymore?","wow , that is a smart move !"
32,"Does anyone else sleep early to escape thoughts you get at night?. I always see people say how depression causes them to stay awake at night or become lethargic during the day but after 10pm, I become increasingly paranoid and depressed and so I force myself to sleep. Just want to know if anyone out there is the same...","oh ok , well that 's a good thing to be worried ."
33,how do I get $100 quickly and easily?. I want to buy weed. of course some one who is depressed like me needs drugs. but im serious i want weed so i can just smoke 24/7 to help with the depression.,i know that feeling . i hope you find something that you are doing .
34,Since we all hate the world and how unfair it why dont we all just become humanitarians. :) even though the bad outweighs the good at least we we will be helping others :):),that is good to hear . i hope you do n't have to move back .
35,"Had a dream about my parents falling apart and crying because they thought I'd killed myself.. Dream!me hadn't yet, but was unable to tell them because for some reason they couldn't see or hear me. So all I could do was stand there beside them and watch them break down and cry. Thanks, brain. I haven't been feeling shitty and hating myself enough recently while awake.",i would be too . i would be so embarrassed if i saw it .
36,changes. i see no changes wake up in the morning and i ask myself is life worth living should i blast myself,i know what you mean .
37,"my problems are insignificant. i get bullied. i bully myself. i get beat up. i beat up myself. my family the best, but they the worst. i have things to look forward to, even if they provide a minuscule amount of happiness. other people have it worse. i whine. i am insignificant.",i 'm sure you will find a solution for that .
38,"The only thing getting 'lit' this weekend are my fall scented candles.. I am so lonely. I'm in summer vacation and I just lay in bed all day, and browse random shit online. I wish I could do fun things, but Nope, couldn't even get that in life.",i 'm sorry to hear that . i hope you guys can meet some cool people .
39,who cares if i exist?. today is a sad day. its just one of those days i guess. i'm just kinda done. theres not much to look forward to these days. everything is just kinda the same.,i 'm not sure what you mean .
40,Someone please come and break my legs and put me in hospital. I can't go to work anymore,why is that ?
41,It was my 20th birthday yesterday. I had no emotions at all towards it.,that sounds exciting ! what was it ?
42,"It's my 18th birthday, everyone is congratulating me and to be honest I'm surprised I've made it this far.. Everyone wonders what I want to do with my life and I have no idea. The reason I have no idea is that I didn't think I'd still be alive today. I thought I would have ended it by now. Happy birthday to me",i bet you are going to take care of it .
43,"I'm contemplating suicide via ruining my life.. If I can't do it quickly, then I'll do it slowly. I'm in no rush. I mean fuck it. I'm going to be miserable whether I'm working my dream job or being a cashier at McDonald's. What's the point in taking up something someone else is gonna enjoy more?",that 's really sad . i hope you find a good time .
44,emotional trauma/neglect and being re-traumatized on top of the depression. I can't take it anymore I just want out.,i 'm sorry to hear that . what happened to you ?
45,Fuck it. My girl and I broke up and im done. I was doing so well. Been clean for months now and now... I just want to die and get it over with.,i 'm sorry to hear that .
46,Everyday I ask myself why I haven't killed myself.. And as each day passes I have less reasons.,how much did you do ?
47,I finished a 6 hour motorcycle ride between two states.. Why didn't I get hit?,that 's awesome ! i bet you were so proud of the price .
48,"Why is it so easy to blame ourselves?. It's strange, sometimes when I make mistakes that clearly not my fault I blame myself for it, but why is that and how can we stop blaming ourselves for everything?",i understand . it 's hard to think about that .
49,Is the good even worth it?. idek anymore. Too much bad...,what are you going to do ?
50,People said try finding yourself a goal. But I have goals. I can't work on them because I feel tired. Which makes me feel more worst due to my failure.. I am not sad I am just feel...given up.,"i can see why you feel that way , so i 'm sure you will make it get better ."
51,I have become comfortably numb. afraid of who I am becoming,i 'm sure you will be fine .
52,I feel so alone. And it hurts so much,why ? what happened ?
