[2024-03-10 13:23:22,223 INFO] Vocab size: 38622
[2024-03-10 13:23:22,223 INFO] EmotionVocab Size: 32
[2024-03-10 13:23:23,936 INFO] Training data size: 40252
[2024-03-10 13:23:23,936 INFO] Valid data size: 5736
[2024-03-10 13:23:23,936 INFO] Test data size: 307
[2024-03-10 13:23:32,639 INFO] loading emotion model...
[2024-03-10 13:23:38,819 INFO] S-0	<CLS> Help. Help me. I dunno what I'm doing anymore <SEP>
[2024-03-10 13:23:38,820 INFO] T-0	<BOS> That's pretty vague, do you not know what you're doing in regards to a specific section of your life? Like school or work? <EOS>
[2024-03-10 13:23:38,820 INFO] H-0	i hope you are okay
[2024-03-10 13:23:38,820 INFO] S-1	<CLS> I'm done saying I love you to her because I don't want to hear a lie back to me. I feel so ugly and unwanted and unloved <SEP>
[2024-03-10 13:23:38,820 INFO] T-1	<BOS> idk what a Red pill means exactly but my advice to you is if she treating you right then fuck her there are billions of other girls out there, and if u feel like in love with her and just leave her then try to not care and you have to accept the fact that some girls(as well as some guys) will lie straight to your face for years without any remorse. my advice is stop caring before too late. <EOS>
[2024-03-10 13:23:38,820 INFO] H-1	i know how you feel . i would be so mad too .
[2024-03-10 13:23:38,820 INFO] S-2	<CLS> Always feel like I'm being criticized and mocked even when alone.... Does anyone else experience this? <SEP>
[2024-03-10 13:23:38,820 INFO] T-2	<BOS> I think it's social anxiety , that creates paranoid feelings , unless I'm wrong but that's how I feel <EOS>
[2024-03-10 13:23:38,820 INFO] H-2	oh no ! i 'm sorry to hear that .
[2024-03-10 13:23:38,820 INFO] S-3	<CLS> My diet becomes fucked when i get depressed.. I can't control myself in the grocery store when I'm feeling down. Chips, cookies, soda, cake, you name It. Anyone else a stress eater? <SEP>
[2024-03-10 13:23:38,820 INFO] T-3	<BOS> By any chance do you think you're in a loop. Junk food can make you depressed. And being depressed probably makes you eat more junk food? For a while that was my problem too. Even if its just random, ill probably binge and feel bad later. Only to indulge in more later to try to cheer up. <EOS>
[2024-03-10 13:23:38,820 INFO] H-3	i know how you feel . i have a bit of friends .
[2024-03-10 13:23:38,820 INFO] S-4	<CLS> I hate not knowing why. I was diagnosed with depression and anxiety when I was 14. That's almost 4 years ago and I still don't know why I am like this. I have more than enough, yet there are moments where I feel like there's no hope nor a bright future waiting for me. I feel alone and abandoned even though I have friends who know that I am depressed and am like this sometimes. I get so frustrated when I can't find out why I just can't be normal. Everything was alright about 2 hours ago, but it just changes so quickly and hard that I almost feel suicidal. I'm a fucking mess... <SEP>
[2024-03-10 13:23:38,820 INFO] T-4	<BOS> depression. not sadness which is caused by something and is healthy. Depression is an actual mental disorder which commonly goes untreated. The best things you can do for depression is first of all, not hiding it, tell your loved ones so they can help you. also get a therapist, very helpful and help you cope with depression and get over it. If you think really bad you can see a doctor and see if medication is a good idea. I take antidepressants and my depression is gone, it change you like I originally thought it would, it just makes me the same but not sad all the time. <EOS>
[2024-03-10 13:23:38,820 INFO] H-4	i 'm sorry to hear that . i hope you can find someone to talk to you .
[2024-03-10 13:23:38,820 INFO] S-5	<CLS> Not arsed with school. Can't study or do homework.. My family is in a bad way right now and I'm in a bad way, mentally. I just can't care about school anymore. Feels hopeless <SEP>
[2024-03-10 13:23:38,820 INFO] T-5	<BOS> That's why I'm repeating 11th grade. It sucks. <EOS>
[2024-03-10 13:23:38,820 INFO] H-5	i hope you do too .
[2024-03-10 13:23:38,820 INFO] S-6	<CLS> My parents wont allow me to sick medical assistance because they think my depression is bs. Title. I'm 16, got no money. What to do? <SEP>
[2024-03-10 13:23:38,820 INFO] T-6	<BOS> Ask your school counselor what resources they can give you. Just go into the office, ask for the counselor, and see what they've got. <EOS>
[2024-03-10 13:23:38,820 INFO] H-6	i am sure you will be fine .
[2024-03-10 13:23:38,820 INFO] S-7	<CLS> I called in sick to work today. For the first time in a couple months I was feeling so Shitty I called into both my jobs today. Just feeling too burnt out, but I slept a lot, read quite a bit and finally managed to shower so the day a complete waste <SEP>
